date;tonepr;rate_shock_abs;rate_shock_rel;moex_close;moex_spread;toneev;year;trans;trust;tonepr2;tonepr3
2016-09-16;-5.3945856676447;-0.5;-0.047619047619047616;1981.96;-0.8130493772207537;-10.85829096445404;2016.0;7.3;0.42;0.013379278915705357;-0.0015475655778742715
2016-10-28;-4.247185051924369;0.0;0.0;1981.76;0.09541527822589657;;2016.0;7.3;0.42;0.00829313789503118;-0.0007552284296464444
2016-12-16;-5.224522362458918;0.0;0.0;2231.41;-0.34313945566806225;-10.216359289229997;2016.0;7.3;0.42;0.012549016892558022;-0.0014057709222160427
2017-02-03;-5.972102867541159;0.0;0.0;2226.61;0.3202809692272268;;2017.0;7.3;0.42;0.016397252276566333;-0.0020996969515514174
2017-03-24;-5.976451086367311;-0.25;-0.025;2039.77;-0.3919223130238514;-10.138329717317747;2017.0;7.3;0.42;0.016421138267332956;-0.0021042865865767823
2017-04-28;-5.21082435941742;-0.5;-0.05128205128205128;2016.71;-0.2491056024504168;;2017.0;7.3;0.42;0.012483299449008308;-0.0013947426540870716
2017-06-16;-7.684616045968009;-0.25;-0.02702702702702703;1822.91;0.2218696163567735;-10.174987300916673;2017.0;7.3;0.42;0.027149439353050465;-0.004473436721823437
2017-07-28;-6.918267496173505;0.0;0.0;1916.75;-1.246406322308058;;2017.0;7.3;0.42;0.02200448553643251;-0.0032641253540439744
2017-09-15;-6.07203453661727;-0.5;-0.05555555555555555;2053.81;0.11399954465565187;-9.913927689711194;2017.0;7.3;0.42;0.01695059647595221;-0.00220687369375517
2017-10-27;-6.287036696946751;-0.25;-0.029411764705882353;2068.76;0.8938883683776488;;2017.0;7.3;0.42;0.018172241915656605;-0.0024496992233644563
2017-12-15;-5.998248009886984;-0.5;-0.06060606060606061;2143.99;-0.3371192561426817;-11.196960498692736;2017.0;7.3;0.42;0.016541136908592713;-0.0021273945110972343
2018-02-09;-6.401688974617332;-0.25;-0.03225806451612903;2197.12;-0.5695771266027272;;2018.0;8.3;0.37;0.018841074178075016;-0.0025861784535413162
2018-03-23;-5.552171264241022;-0.25;-0.03333333333333333;2285.53;0.579660892250633;-9.722331379666498;2018.0;8.3;0.37;0.014172361684582578;-0.0016871874674331375
2018-04-27;-8.344887492231212;0.0;0.0;2301.49;0.5900519141408544;;2018.0;8.3;0.37;0.03201529372736955;-0.005728438250367522
2018-06-15;-6.937044868810566;0.0;0.0;2237.53;-0.7373764937308458;-10.920530030516979;2018.0;8.3;0.37;0.022124095584608917;-0.003290775756720679
2018-07-27;-6.639924651131026;0.0;0.0;2292.72;-0.05014618808738547;;2018.0;8.3;0.37;0.020269489985219588;-0.0028857867289634994
2018-09-14;-5.499105185917299;0.25;0.034482758620689655;2360.26;0.05085478525987952;-9.19299204523229;2018.0;8.3;0.37;0.013902745501734596;-0.0016392713898304133
2018-10-26;-6.27864300831847;0.0;0.0;2293.22;-1.5404758075097114;;2018.0;8.3;0.37;0.01812375156115052;-0.002439900693238389
2018-12-14;-5.679919386241788;0.25;0.03333333333333333;2365.69;-0.4714761947130164;-7.63212588713131;2018.0;8.3;0.37;0.01483203914158579;-0.0018063474667128687
