date;tonepr;rate_shock_abs;rate_shock_rel;close;spread;toneev;year;trans;trust
2015-12-11;-6.165860047144949;0.0;0.0;342.04;-0.8703680484845044;-9.343946130718296;2015.0;7.2;0.46
2016-01-29;-6.873474388452066;0.0;0.0;336.13;-0.6848834159537631;;2016.0;7.3;0.42
2016-03-18;-5.701132764428124;0.0;0.0;352.45;0.0;-8.1176073556592;2016.0;7.3;0.42
2016-04-29;-4.2855226249053455;0.0;0.0;358.01;-0.10608599543235897;;2016.0;7.3;0.42
2016-06-10;-5.141967837852535;-0.5;-0.045454545454545456;366.92;-0.6600863333291684;-9.193270211467974;2016.0;7.3;0.42
2016-07-29;-5.153685756911096;0.0;0.0;376.49;0.31124910403983463;;2016.0;7.3;0.42
2016-09-16;-5.3945856676446935;-0.5;-0.047619047619047616;371.7;-0.3223209881568323;-10.858290964454033;2016.0;7.3;0.42
2016-10-28;-4.247185051924367;0.0;0.0;367.65;-0.024476808346474144;;2016.0;7.3;0.42
2016-12-16;-5.224522362458913;0.0;0.0;373.9;0.08294425819013185;-10.21635928922999;2016.0;7.3;0.42
2017-02-03;-5.9721028675411585;0.0;0.0;386.46;0.054354157489910904;;2017.0;7.3;0.42
2017-03-24;-5.976451086367306;-0.25;-0.025;393.92;0.06348481021767327;-10.138329717317736;2017.0;7.3;0.42
2017-04-28;-5.210824359417417;-0.5;-0.05128205128205128;405.04;0.29670677488606856;;2017.0;7.3;0.42
2017-06-16;-7.684616045968005;-0.25;-0.02702702702702703;402.65;-0.606625196709043;-10.174987300916666;2017.0;7.3;0.42
2017-07-28;-6.918267496173502;0.0;0.0;408.44;-0.09543970281624681;;2017.0;7.3;0.42
2017-09-15;-6.072034536617264;-0.5;-0.05555555555555555;420.48;-0.13784254862185819;-9.913927689711187;2017.0;7.3;0.42
2017-10-27;-6.287036696946749;-0.25;-0.029411764705882353;423.76;0.21261022395480111;;2017.0;7.3;0.42
2017-12-15;-5.998248009886979;-0.5;-0.06060606060606061;429.17;0.046612441704407814;-11.196960498692725;2017.0;7.3;0.42
2018-02-09;-6.40168897461733;-0.25;-0.03225806451612903;446.11;0.08746062026627754;;2018.0;8.3;0.37
2018-03-23;-5.552171264241019;-0.25;-0.03333333333333333;453.36;-0.09480241023105407;-9.722331379666493;2018.0;8.3;0.37
2018-04-27;-8.344887492231209;0.0;0.0;448.18;0.08705649176450336;;2018.0;8.3;0.37
2018-06-15;-6.937044868810563;0.0;0.0;439.22;-1.2624316437225502;-10.920530030516973;2018.0;8.3;0.37
2018-07-27;-6.639924651131021;0.0;0.0;443.41;0.16476885308600586;;2018.0;8.3;0.37
2018-09-14;-5.499105185917293;0.25;0.034482758620689655;417.12;-0.3350728327654373;-9.192992045232284;2018.0;8.3;0.37
2018-10-26;-6.2786430083184674;0.0;0.0;428.71;0.20314057537307306;;2018.0;8.3;0.37
2018-12-14;-5.679919386241783;0.25;0.03333333333333333;430.2;-0.09990358973652746;-7.632125887131304;2018.0;8.3;0.37
2019-02-08;-5.475785033299253;0.0;0.0;451.26;0.044330171840467614;;2019.0;8.3;0.31
2019-03-22;-5.7346427736625945;0.0;0.0;457.26;0.2277007595887781;-10.016770691126686;2019.0;8.3;0.31
2019-04-26;-6.678236802449574;0.0;0.0;458.9;0.4718020197342021;;2019.0;8.3;0.31
2019-06-14;-6.502453963007931;-0.25;-0.03225806451612903;481.8;0.28891842049141303;-9.733010654624428;2019.0;8.3;0.31
2019-07-26;-5.605500660743724;-0.25;-0.03333333333333333;495.67;-0.23777869583758715;;2019.0;8.3;0.31
2019-09-06;-6.1386284035321;-0.25;-0.034482758620689655;508.29;-0.07473253966443494;-10.698152053449343;2019.0;8.3;0.31
2019-10-25;-5.659736793525415;-0.5;-0.07142857142857142;534.39;0.40313940388712055;;2019.0;8.3;0.31
2019-12-13;-5.856208063622333;-0.25;-0.038461538461538464;540.11;0.0037030179600883173;-9.722331379666493;2019.0;8.3;0.31
2020-02-07;-5.802286649755642;-0.25;-0.04;554.5;0.07577261363103105;-9.915323569061155;2020.0;9.3;0.33
2020-03-20;-7.266085381653717;0.0;0.0;507.46;0.25650652370430294;-10.205676920261244;2020.0;9.3;0.33
2020-04-24;-5.782680159706497;-0.5;-0.08333333333333333;566.52;0.031777978128744166;-9.803209180032225;2020.0;9.3;0.33
2020-06-19;-6.434003367385446;-1.0;-0.18181818181818182;590.86;-0.3901933111200684;-9.963173466248813;2020.0;9.3;0.33
2020-07-24;-5.680871983653693;-0.25;-0.05555555555555555;587.38;0.0425709451219447;-9.705252163864218;2020.0;9.3;0.33
2020-09-18;-5.744939403606884;0.0;0.0;576.11;-0.3327155754403677;-10.967771002417372;2020.0;9.3;0.33
2020-10-23;-5.745142552313896;0.0;0.0;587.57;-0.06805383320642733;-9.921480153055429;2020.0;9.3;0.33
2020-12-18;-5.594341555113335;0.0;0.0;592.2;-0.493545340820134;-11.264777825907192;2020.0;9.3;0.33
2021-02-12;-5.820539028880425;0.0;0.0;575.8;-0.27575698845030416;-9.069334875552832;2021.0;9.8;0.32
2021-03-19;-5.35674170552608;0.25;0.058823529411764705;560.81;-0.3275597965564536;-10.470124590598552;2021.0;9.8;0.32
2021-04-23;-5.530048451384542;0.5;0.1111111111111111;570.67;0.2315749881399931;-10.174987300916666;2021.0;9.8;0.32
2021-06-11;-4.922596202198059;0.5;0.1;556.98;0.026934576077941585;-9.196092175684607;2021.0;9.8;0.32
2021-07-23;-5.530025961481919;1.0;0.18181818181818182;566.99;0.1588590724876049;-10.152931560437057;2021.0;9.8;0.32
2021-09-10;-5.912915441521447;0.25;0.038461538461538464;569.93;0.1510096862912036;-10.814859030199935;2021.0;9.8;0.32
2021-10-22;-5.860373883757887;0.75;0.1111111111111111;542.05;-1.2266492881411573;-11.27328322686143;2021.0;9.8;0.32
2021-12-17;-6.725061219611949;1.0;0.13333333333333333;533.56;0.6713390829205856;-10.478622411220408;2021.0;9.8;0.32
