date,OPEN,MAX,MIN,CLOSE,VOLUME,CAP,DURATION,YIELD
19 05 17,435.61,437.22,435.61,437.19,6 492 252 939,3 318 765 079 969.26,1 709,7.88
22 05 17,437.56,438.17,437.27,438.04,10 080 945 879,3 325 197 007 335.57,1 707,7.85
23 05 17,438.10,438.25,437.71,438.04,6 010 748 897,3 325 306 648 371.36,1 707,7.85
24 05 17,438.23,438.67,437.51,437.53,13 450 316 899,3 321 533 630 575.43,1 704,7.89
25 05 17,437.69,438.25,437.37,437.38,4 080 511 996,3 320 373 329 444.71,1 704,7.90
26 05 17,437.49,437.49,436.30,436.44,13 633 589 817,3 313 526 006 257.68,1 699,7.95
29 05 17,436.81,437.12,436.46,437.07,1 235 111 373,3 318 364 791 265.13,1 697,7.92
30 05 17,437.18,438.02,436.77,436.86,3 846 266 850,3 316 873 941 433.8,1 694,7.93
31 05 17,437.12,437.28,436.24,436.67,14 077 924 553,3 305 319 636 545.02,1 696,7.94
01 06 17,436.64,437.65,436.64,437.43,15 848 402 873,3 473 465 962 886.86,1 753,7.88
02 06 17,437.80,438.10,437.31,438.08,10 251 106 992,3 478 627 530 914.95,1 754,7.86
05 06 17,438.30,438.63,437.82,438.45,5 670 499 587,3 481 571 144 444.68,1 751,7.85
06 06 17,438.60,438.81,438.36,438.44,6 255 432 149,3 481 529 779 565.91,1 749,7.85
07 06 17,438.35,438.96,438.19,438.81,9 433 693 490,3 484 446 602 126.98,1 748,7.83
08 06 17,438.86,438.88,438.35,438.40,10 739 023 511,3 481 224 430 456.23,1 746,7.84
09 06 17,438.36,439.12,438.28,439.11,5 243 564 834,3 486 864 738 739.05,1 746,7.81
13 06 17,439.48,439.83,439.38,439.83,8 463 104 647,3 492 566 296 226.74,1 742,7.79
14 06 17,440.00,440.07,439.35,439.49,19 468 661 293,3 478 014 212 402.65,1 745,7.81
15 06 17,439.60,439.66,438.34,438.34,26 394 021 720,3 468 890 263 229.15,1 741,7.86
16 06 17,438.47,438.47,437.11,437.11,26 984 893 214,3 459 167 827 355.1,1 737,7.93
19 06 17,437.30,437.53,435.64,435.78,26 700 161 982,3 448 628 174 568.9,1 731,8.01
20 06 17,436.04,436.47,435.69,435.92,30 814 176 490,3 449 699 607 315.36,1 730,8.01
21 06 17,435.86,436.44,435.72,436.42,17 083 335 429,3 453 669 928 326.35,1 730,7.98
