BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
SNDX,IMOEX,23.06.2015,Индекс МосБиржи,Индекс МосБиржи,"1657,23","1672,27","1676,22","1656,39","21998214130,00"
SNDX,IMOEX,24.06.2015,Индекс МосБиржи,Индекс МосБиржи,"1651,85","1658,03","1664,57","1642,08","22392108289,00"
SNDX,IMOEX,25.06.2015,Индекс МосБиржи,Индекс МосБиржи,"1631,99","1651,14","1655,80","1631,99","19923930891,00"
SNDX,IMOEX,26.06.2015,Индекс МосБиржи,Индекс МосБиржи,"1644,45","1631,92","1647,81","1626,87","25595703087,00"
SNDX,IMOEX,29.06.2015,Индекс МосБиржи,Индекс МосБиржи,"1634,93","1644,45","1644,45","1625,71","19158469469,00"
SNDX,IMOEX,30.06.2015,Индекс МосБиржи,Индекс МосБиржи,"1654,55","1634,93","1655,25","1626,02","28374822458,00"
SNDX,IMOEX,01.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1639,70","1654,57","1659,97","1638,44","25085292936,00"
SNDX,IMOEX,02.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1641,05","1639,78","1646,96","1633,69","20472966669,00"
SNDX,IMOEX,03.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1631,65","1641,01","1642,20","1625,42","14641565563,00"
SNDX,IMOEX,06.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1621,27","1627,71","1627,71","1613,71","25053084669,00"
SNDX,IMOEX,07.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1614,14","1621,35","1629,59","1606,28","28421883734,00"
SNDX,IMOEX,08.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1595,00","1614,14","1616,60","1573,95","34970227613,00"
SNDX,IMOEX,09.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1614,59","1595,08","1614,85","1595,02","24711741425,00"
SNDX,IMOEX,10.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1623,99","1615,11","1625,59","1614,93","26147626552,00"
SNDX,IMOEX,13.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1642,97","1618,23","1642,97","1617,17","36864576019,00"
SNDX,IMOEX,14.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1647,01","1643,00","1647,01","1626,09","32488836341,00"
SNDX,IMOEX,15.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1641,22","1638,30","1644,01","1626,17","28224216593,00"
SNDX,IMOEX,16.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1652,59","1640,81","1652,97","1636,99","20173536045,00"
SNDX,IMOEX,17.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1650,08","1652,52","1660,00","1646,37","22136563101,00"
SNDX,IMOEX,20.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1626,76","1650,09","1652,05","1619,44","22460865407,00"
SNDX,IMOEX,21.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1635,69","1627,19","1639,92","1618,58","25349323922,00"
SNDX,IMOEX,22.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1635,63","1634,89","1635,63","1620,47","26862692731,00"
SNDX,IMOEX,23.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1616,14","1634,79","1634,90","1614,97","23062741161,00"
SNDX,IMOEX,24.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1595,61","1615,69","1622,30","1593,07","28837860037,00"
SNDX,IMOEX,27.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1584,92","1595,50","1599,25","1570,46","35777910902,00"
SNDX,IMOEX,28.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1604,50","1584,92","1610,70","1577,99","36511095579,00"
SNDX,IMOEX,29.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1622,32","1604,56","1624,64","1600,31","29880161765,00"
SNDX,IMOEX,30.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1636,72","1622,69","1638,51","1620,24","26758851204,00"
SNDX,IMOEX,31.07.2015,Индекс МосБиржи,Индекс МосБиржи,"1669,00","1636,72","1669,00","1630,18","38825213612,00"
SNDX,IMOEX,03.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1663,74","1668,13","1676,26","1654,45","28020770408,00"
SNDX,IMOEX,04.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1674,46","1663,31","1676,58","1659,16","28420615882,00"
SNDX,IMOEX,05.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1693,07","1674,63","1696,80","1665,12","32158856424,00"
SNDX,IMOEX,06.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1675,71","1693,07","1698,30","1670,57","31888293343,00"
SNDX,IMOEX,07.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1690,44","1676,75","1695,39","1676,75","23675267619,00"
SNDX,IMOEX,10.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1702,02","1690,47","1702,70","1674,35","26308036402,00"
SNDX,IMOEX,11.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1697,87","1702,02","1721,32","1694,61","31498785759,00"
SNDX,IMOEX,12.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1697,65","1697,90","1703,59","1683,30","28603044801,00"
SNDX,IMOEX,13.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1704,11","1697,59","1713,25","1689,99","26640564079,00"
SNDX,IMOEX,14.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1712,47","1704,14","1723,32","1699,32","25961503163,00"
SNDX,IMOEX,17.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1707,95","1712,48","1714,94","1694,54","26216456403,00"
SNDX,IMOEX,18.08.2015,Индекс МосБиржи,Индекс МосБиржи,"1691,24","1707,95","1707,95","1685,83","22759319652,00"
