BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE
RTSI,RTSI,12.10.2015,Индекс РТС,Индекс РТС,"876,42","883,32","895,12","871,55","640867630,63"
RTSI,RTSI,13.10.2015,Индекс РТС,Индекс РТС,"866,52","866,35","867,56","851,61","449542798,63"
RTSI,RTSI,14.10.2015,Индекс РТС,Индекс РТС,"863,31","858,61","868,73","848,92","502004302,35"
RTSI,RTSI,15.10.2015,Индекс РТС,Индекс РТС,"876,23","867,08","885,94","867,08","565754026,81"
RTSI,RTSI,16.10.2015,Индекс РТС,Индекс РТС,"881,19","885,56","897,75","876,07","590692751,99"
RTSI,RTSI,19.10.2015,Индекс РТС,Индекс РТС,"868,72","881,59","885,73","861,23","502982880,73"
RTSI,RTSI,20.10.2015,Индекс РТС,Индекс РТС,"875,55","868,40","879,46","861,31","547567336,49"
RTSI,RTSI,21.10.2015,Индекс РТС,Индекс РТС,"856,88","873,32","873,32","851,98","516411894,45"
RTSI,RTSI,22.10.2015,Индекс РТС,Индекс РТС,"860,75","855,32","867,07","853,78","440442112,48"
RTSI,RTSI,23.10.2015,Индекс РТС,Индекс РТС,"872,86","863,60","883,31","863,60","596610934,76"
RTSI,RTSI,26.10.2015,Индекс РТС,Индекс РТС,"858,01","873,36","876,93","851,03","604592979,14"
RTSI,RTSI,27.10.2015,Индекс РТС,Индекс РТС,"839,26","856,04","856,04","826,53","582123097,88"
RTSI,RTSI,28.10.2015,Индекс РТС,Индекс РТС,"854,74","837,38","857,02","824,83","525917010,16"
RTSI,RTSI,29.10.2015,Индекс РТС,Индекс РТС,"839,57","852,66","852,66","834,53","456045266,42"
RTSI,RTSI,30.10.2015,Индекс РТС,Индекс РТС,"845,54","837,79","847,40","831,20","401501026,11"
RTSI,RTSI,02.11.2015,Индекс РТС,Индекс РТС,"853,77","843,79","854,29","838,90","425047895,55"
RTSI,RTSI,03.11.2015,Индекс РТС,Индекс РТС,"886,36","856,05","887,63","854,87","600139229,71"
RTSI,RTSI,05.11.2015,Индекс РТС,Индекс РТС,"877,26","889,16","890,51","875,14","610952360,63"
RTSI,RTSI,06.11.2015,Индекс РТС,Индекс РТС,"854,34","878,12","879,19","850,41","502725532,24"
RTSI,RTSI,09.11.2015,Индекс РТС,Индекс РТС,"855,26","856,40","863,23","849,73","373658700,39"
RTSI,RTSI,10.11.2015,Индекс РТС,Индекс РТС,"854,08","853,02","859,60","846,98","380995007,52"
RTSI,RTSI,11.11.2015,Индекс РТС,Индекс РТС,"845,72","852,72","858,62","842,85","417478802,61"
RTSI,RTSI,12.11.2015,Индекс РТС,Индекс РТС,"831,95","839,87","842,70","826,34","434066427,29"
RTSI,RTSI,13.11.2015,Индекс РТС,Индекс РТС,"814,93","824,54","826,33","812,56","445552168,02"
RTSI,RTSI,16.11.2015,Индекс РТС,Индекс РТС,"824,17","815,25","837,52","814,73","449498789,16"
RTSI,RTSI,17.11.2015,Индекс РТС,Индекс РТС,"862,44","834,47","864,83","834,47","776609556,14"
RTSI,RTSI,18.11.2015,Индекс РТС,Индекс РТС,"876,56","864,05","884,05","864,05","677938997,58"
RTSI,RTSI,19.11.2015,Индекс РТС,Индекс РТС,"883,82","885,43","896,80","873,73","832298958,85"
RTSI,RTSI,20.11.2015,Индекс РТС,Индекс РТС,"888,36","881,76","893,38","872,04","526394884,87"
RTSI,RTSI,23.11.2015,Индекс РТС,Индекс РТС,"897,56","887,08","902,91","871,71","717408541,35"
RTSI,RTSI,24.11.2015,Индекс РТС,Индекс РТС,"867,54","894,46","901,22","856,02","823167346,36"
RTSI,RTSI,25.11.2015,Индекс РТС,Индекс РТС,"878,89","870,82","881,63","868,05","543320623,37"
RTSI,RTSI,26.11.2015,Индекс РТС,Индекс РТС,"874,66","881,46","889,54","867,83","429210334,53"
