date,CLOSE,"Объем, RUB","Капитализация, RUB","Дюрация индекса, дней","Доходность индекса, %"
08 10 21,537.73,1 000 878 106,2 020 123 000 000,1 420,7.39
07 10 21,534.93,3 156 179 872,2 009 607 000 000,1 420,7.54
06 10 21,534.28,4 926 498 874,2 007 174 500 000,1 421,7.56
05 10 21,535.97,5 777 064 632,2 013 522 500 000,1 422,7.47
04 10 21,538.05,3 227 149 754,2 021 344 500 000,1 424,7.36
01 10 21,538.92,2 331 376 559,2 024 627 500 000,1 428,7.30
30 09 21,539.83,384 531 488,2 028 046 500 000,1 429,7.24
29 09 21,540.62,938 890 680,2 031 009 000 000,1 430,7.20
28 09 21,540.46,11 248 041 010,2 030 419 500 000,1 431,7.20
27 09 21,539.88,5 666 128 967,2 028 236 000 000,1 432,7.23
24 09 21,540.78,4 994 797 416,2 031 601 000 000,1 435,7.17
23 09 21,542.06,8 655 824 966,2 036 407 500 000,1 437,7.10
22 09 21,542.78,930 710 626,2 039 117 500 000,1 438,7.06
21 09 21,542.50,4 832 264 913,2 051 582 000 000,1 430,7.07
20 09 21,542.38,8 368 913 079,2 051 120 500 000,1 431,7.07
17 09 21,543.52,5 311 955 226,2 055 431 500 000,1 434,6.99
16 09 21,544.04,21 300 882 951,2 057 416 500 000,1 435,6.96
15 09 21,544.13,1 216 270 529,2 057 775 500 000,1 436,6.95
14 09 21,544.36,3 317 289 491,2 058 631 500 000,1 437,6.94
13 09 21,544.37,508 514 997,2 058 657 000 000,1 438,6.93
10 09 21,543.92,5 705 689 146,2 056 956 500 000,1 441,6.94
09 09 21,543.91,386 308 137,2 056 920 500 000,1 442,6.94
08 09 21,543.72,3 058 524 599,2 056 205 000 000,1 443,6.94
07 09 21,544.14,2 415 103 059,2 057 809 500 000,1 445,6.91
06 09 21,544.43,929 155 385,2 058 909 500 000,1 446,6.89
03 09 21,544.51,3 468 024 631,2 059 219 000 000,1 449,6.88
02 09 21,544.13,1 560 759 627,2 057 778 000 000,1 449,6.89
01 09 21,545.18,729 466 571,2 061 739 000 000,1 451,6.83
31 08 21,544.86,1 589 078 241,2 423 178 500 000,1 387,6.84
30 08 21,544.68,4 223 426 581,2 422 375 000 000,1 388,6.84
27 08 21,544.19,4 236 817 751,2 420 180 500 000,1 391,6.85
26 08 21,543.13,2 649 637 574,2 415 487 500 000,1 392,6.90
25 08 21,544.11,3 414 877 552,2 419 826 000 000,1 393,6.85
24 08 21,544.24,974 189 475,2 420 396 500 000,1 394,6.83
23 08 21,544.22,674 911 955,2 420 293 000 000,1 395,6.83
20 08 21,544.26,525 165 551,2 420 455 000 000,1 398,6.82
19 08 21,543.97,1 841 721 667,2 419 149 500 000,1 399,6.82
18 08 21,544.61,419 314 347,2 422 013 000 000,1 401,6.79
17 08 21,544.46,3 592 703 191,2 421 333 000 000,1 402,6.79
16 08 21,543.75,2 258 522 962,2 418 180 500 000,1 402,6.82
13 08 21,542.12,2 911 551 178,2 410 943 500 000,1 405,6.89
12 08 21,542.23,4 502 937 879,2 411 424 500 000,1 406,6.88
11 08 21,541.98,5 066 817 886,2 410 322 500 000,1 407,6.89
10 08 21,542.09,6 251 772 810,2 425 058 000 000,1 400,6.87
09 08 21,542.64,5 504 799 371,2 427 528 000 000,1 401,6.84
06 08 21,543.25,5 378 714 960,2 430 246 000 000,1 404,6.80
05 08 21,543.72,946 489 324,2 432 354 000 000,1 405,6.76
04 08 21,543.28,519 701 414,2 430 384 500 000,1 406,6.79
03 08 21,543.64,10 507 649 542,2 432 000 500 000,1 407,6.76
02 08 21,543.64,2 569 788 181,2 432 007 000 000,1 409,6.76
30 07 21,543.60,6 483 823 317,2 431 807 500 000,1 411,6.74
29 07 21,543.54,11 588 156 665,2 431 558 000 000,1 413,6.74
28 07 21,543.48,14 854 279 221,2 431 295 500 000,1 414,6.74
27 07 21,542.67,823 526 581,2 427 664 000 000,1 414,6.78
26 07 21,542.01,3 088 563 600,2 424 712 000 000,1 415,6.80
23 07 21,541.60,10 757 855 434,2 422 880 000 000,1 418,6.81
22 07 21,541.71,4 114 452 316,2 423 374 500 000,1 419,6.80
21 07 21,540.61,20 946 202 160,2 418 443 000 000,1 420,6.85
20 07 21,538.65,3 814 983 364,2 420 843 500 000,1 413,6.94
19 07 21,537.82,6 794 843 557,2 417 133 000 000,1 414,6.98
16 07 21,537.41,15 291 367 005,2 415 291 500 000,1 417,6.98
15 07 21,536.91,6 570 801 882,2 413 047 500 000,1 418,7.00
14 07 21,536.05,4 941 601 740,2 409 162 500 000,1 419,7.05
13 07 21,535.95,2 507 772 315,2 408 697 500 000,1 420,7.05
